stops:	104								
{	5001	Isolatorweg	50005001	1	100	0	0	0	3	0	}
{	5002	Station_Sloterdijk	50015002	1	100	0	0	0	3	0	}
{	5003	Burg_De_Vlugtlaan	50025003	1	100	0	0	0	3	0	}
{	5004	Jan_van_Galenstraat	50035004	1	100	0	0	0	3	0	}
{	5005	Postjesweg	50045005	1	100	0	0	0	3	0	}
{	5006	Station_Lelylaan	50055006	1	100	0	0	0	3	0	}
{	5007	Heemstedestraat	50065007	1	100	0	0	0	3	0	}
{	5008	Henk_Sneevlietweg	50075008	1	100	0	0	0	3	0	}
{	5009	Amstelreenseweg	50085009	1	100	0	0	0	3	0	}
{	5010	Station_Zuid	50095010	1	100	0	0	0	3	0	}
{	5011	Station_RAI	50105011	1	100	0	0	0	3	0	}
{	5012	Overamstel	50105011	16100	100	0	0	0	3	0	}
{	5013	Van_der_Madeweg	501325013	1	100	0	0	0	3	0	}
{	5014	Station_Duivendrecht	50135014	4000	100	0	0	0	3	0	}
{	5015	Strandvliet	50145015	10000	100	0	0	0	3	0	}
{	5016	Station_Bijlmer_ArenA	50155016	4000	100	0	0	0	3	0	}
{	5017	Bullewijk	50165017	10000	100	0	0	0	3	0	}
{	5018	Station_Holendrecht	50175018	10000	100	0	0	0	3	0	}
{	5019	Reigersbos	50185019	10000	100	0	0	0	3	0	}
{	5020	Gein	50195020	10000	100	0	0	0	3	0	}
{	5101	Westwijk	51005101	1	100	0	0	0	3	0	}
{	5102	Sacharovlaan	51015102	1	100	0	0	0	3	0	}
{	5103	Spinnerij	51025103	1	100	0	0	0	3	0	}
{	5104	Poortwachter	51035104	1	100	0	0	0	3	0	}
{	5105	Brink	51045105	1	100	0	0	0	3	0	}
{	5106	Meent	51055106	1	100	0	0	0	3	0	}
{	5107	Gondel	51065107	1	100	0	0	0	3	0	}
{	5108	Marne	51075108	1	100	0	0	0	3	0	}
{	5109	Sportlaan	51085109	1	100	0	0	0	3	0	}
